user_id,action_type,action_id,server_response,timestamp
1,registration,,success,2023-01-01 00:00:00
2,registration,,success,2023-01-01 00:00:00
3,registration,,success,2023-01-01 00:00:00
4,registration,,success,2023-01-01 00:00:00
5,registration,,success,2023-01-01 00:00:00
,first_visit,,success,2023-01-01 00:00:00
,first_visit,,success,2023-01-01 00:00:00
,first_visit,,success,2023-01-01 00:00:00
,first_visit,,success,2023-01-01 00:00:00
,first_visit,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
3,login,,success,2023-01-01 00:00:00
3,login,,success,2023-01-01 00:00:00
2,login,,success,2023-01-01 00:00:00
4,login,,success,2023-01-01 00:00:00
2,login,,success,2023-01-01 00:00:00
4,logout,,success,2023-01-01 00:00:00
1,logout,,success,2023-01-01 00:00:00
1,logout,,success,2023-01-01 00:00:00
2,logout,,success,2023-01-01 00:00:00
1,logout,,success,2023-01-01 00:00:00
,create_topic,7117,error,2023-01-01 00:00:00
,create_topic,4022,error,2023-01-01 00:00:00
3,create_topic,3933,success,2023-01-01 00:00:00
,create_topic,3525,error,2023-01-01 00:00:00
5,create_topic,9568,success,2023-01-01 00:00:00
,create_topic,6651,error,2023-01-01 00:00:00
4,create_topic,1087,success,2023-01-01 00:00:00
,view_topic,,success,2023-01-01 00:00:00
,view_topic,,success,2023-01-01 00:00:00
,view_topic,,success,2023-01-01 00:00:00
,view_topic,,success,2023-01-01 00:00:00
,view_topic,,success,2023-01-01 00:00:00
3,delete_topic,,success,2023-01-01 00:00:00
3,delete_topic,,success,2023-01-01 00:00:00
2,delete_topic,,success,2023-01-01 00:00:00
2,delete_topic,,success,2023-01-01 00:00:00
5,delete_topic,,success,2023-01-01 00:00:00
,create_message,3331,success,2023-01-01 00:00:00
2,create_message,2273,success,2023-01-01 00:00:00
,create_message,3716,success,2023-01-01 00:00:00
1,create_message,4146,success,2023-01-01 00:00:00
